doc_id,file_name
5RBX-B3V1-DYNS-33RG-00000-00,crime_query_results_1770.json
5TWH-T481-JC6P-C0HV-00000-00,crime_query_results_1770.json
5SBW-FNR1-DYNS-34RB-00000-00,crime_query_results_1770.json
5RYC-1TW1-JC6P-C2V2-00000-00,crime_query_results_1770.json
5RMC-98M1-JC6P-C1D4-00000-00,crime_query_results_1770.json
5SJV-MVX1-JC6P-C21J-00000-00,crime_query_results_1770.json
5SHJ-TNY1-DYNS-30J6-00000-00,crime_query_results_1770.json
5S89-TD91-JC6P-C00D-00000-00,crime_query_results_1770.json
5S4G-B661-JC6P-C51W-00000-00,crime_query_results_1770.json
5S54-7PB1-DYNS-31G9-00000-00,crime_query_results_1770.json
5SYW-GG91-DYNS-34PT-00000-00,crime_query_results_1770.json
5RNG-8KM1-JC6P-C3KC-00000-00,crime_query_results_1770.json
5RBH-GVM1-JC6P-C36S-00000-00,crime_query_results_1770.json
5SS5-XDM1-DYNS-3015-00000-00,crime_query_results_1770.json
5SDT-6951-DYNS-34WB-00000-00,crime_query_results_1770.json
5TRP-9R11-DYNS-32DN-00000-00,crime_query_results_1770.json
5S2X-X0R1-DYNS-340K-00000-00,crime_query_results_1770.json
5RTP-2B31-DYNS-316D-00000-00,crime_query_results_1770.json
5TBT-MTD1-DYNS-30D0-00000-00,crime_query_results_1770.json
5RCK-BSB1-DYNS-30TS-00000-00,crime_query_results_1770.json
5SC9-D261-DYNS-3220-00000-00,crime_query_results_1320.json
5RTY-NF71-JC6P-C34H-00000-00,crime_query_results_1320.json
5WCY-V2W1-JC6P-C072-00000-00,crime_query_results_900.json
5W9V-46P1-DYNS-34FB-00000-00,crime_query_results_900.json
5TCF-J851-DYNS-32V3-00000-00,crime_query_results_900.json
5TC1-KXT1-JC6P-C15C-00000-00,crime_query_results_900.json
5XKN-CPS1-JC6P-C1DM-00000-00,crime_query_results_900.json
5SYF-J591-DYNS-30WW-00000-00,crime_query_results_1160.json
5TGT-FBD1-JC6P-C099-00000-00,crime_query_results_1160.json
5TGM-0PM1-JC6P-C12V-00000-00,crime_query_results_1160.json
5V4S-T6X1-DYNS-352M-00000-00,crime_query_results_490.json
5T8W-X3C1-DYNS-3184-00000-00,crime_query_results_490.json
5WSD-D321-DYNS-34KJ-00000-00,crime_query_results_740.json
5WHC-BW91-DYNS-33CV-00000-00,crime_query_results_740.json
5WNV-RS61-JC6P-C3RY-00000-00,crime_query_results_890.json
5RS0-8WG1-JC6P-C4VR-00000-00,crime_query_results_890.json
5TTS-CK91-JC6P-C30K-00000-00,crime_query_results_890.json
5RSM-6D01-DYNS-33VH-00000-00,crime_query_results_890.json
5WH5-CP81-JC6P-C4TV-00000-00,crime_query_results_890.json
5RWN-8941-JC6P-C538-00000-00,crime_query_results_1120.json
5S6M-2181-JC6P-C4FD-00000-00,crime_query_results_1120.json
5Y3R-FRD1-JC6P-C38V-00000-00,crime_query_results_700.json
5XDH-XN31-DYNS-3143-00000-00,crime_query_results_700.json
5TPD-GJ91-JC6P-C007-00000-00,crime_query_results_540.json
5RXN-G9T1-JC6P-C4KT-00000-00,crime_query_results_940.json
5V7S-CVV1-JC6P-C0M8-00000-00,crime_query_results_940.json
5T2F-4P41-DYNS-32KC-00000-00,crime_query_results_940.json
5RW7-BNS1-DYNS-30KW-00000-00,crime_query_results_940.json
5WPG-NFG1-JC6P-C27H-00000-00,crime_query_results_940.json
5RXY-3G61-JC6P-C1NR-00000-00,crime_query_results_940.json
5X4T-B691-DYNS-3028-00000-00,crime_query_results_690.json
5XJH-WX61-DYNS-33BS-00000-00,crime_query_results_1730.json
5W54-S791-JC6P-C52X-00000-00,crime_query_results_1730.json
5W3M-YWR1-DYNS-30M5-00000-00,crime_query_results_1730.json
5XFD-05B1-DYNS-34SD-00000-00,crime_query_results_1730.json
5Y1C-SKF1-DYNS-3002-00000-00,crime_query_results_1730.json
5VPS-FGX1-DYNS-32YJ-00000-00,crime_query_results_1730.json
5VVT-X381-DYNS-3006-00000-00,crime_query_results_1730.json
5VSP-63G1-DYNS-3015-00000-00,crime_query_results_1730.json
5X63-2011-DYNS-348B-00000-00,crime_query_results_1730.json
5X4T-6T41-JC6P-C44Y-00000-00,crime_query_results_1730.json
5WK9-3KP1-JC6P-C3TB-00000-00,crime_query_results_1730.json
5XM3-B0C1-JC6P-C1V1-00000-00,crime_query_results_1730.json
5TY7-JGD1-DYNS-3424-00000-00,crime_query_results_1730.json
5WG3-HWH1-JC6P-C1R0-00000-00,crime_query_results_1730.json
5XNT-3D51-DYNS-33CF-00000-00,crime_query_results_1730.json
5VVM-82P1-JC6P-C3GN-00000-00,crime_query_results_1730.json
5TSS-5M41-JC6P-C3VV-00000-00,crime_query_results_1730.json
5WC2-9F01-DYNS-311M-00000-00,crime_query_results_1730.json
5XJT-GW91-JC6P-C51F-00000-00,crime_query_results_1730.json
5XF6-0VY1-DYNS-33FX-00000-00,crime_query_results_1730.json
5RFW-XD11-DYNS-32H9-00000-00,crime_query_results_960.json
5WGH-GC91-DYNS-327M-00000-00,crime_query_results_960.json
5SP2-6J41-JC6P-C43W-00000-00,crime_query_results_960.json
5SMG-SDV1-JC6P-C0S9-00000-00,crime_query_results_960.json
5TMX-HPN1-DYNS-34F8-00000-00,crime_query_results_960.json
5XPF-1131-DYNS-3180-00000-00,crime_query_results_960.json
5XSB-RPV1-JC6P-C468-00000-00,crime_query_results_1710.json
5WJN-6341-DYNS-31NX-00000-00,crime_query_results_1710.json
5XD9-YJF1-JC6P-C4SY-00000-00,crime_query_results_1710.json
5XD4-09C1-JC6P-C517-00000-00,crime_query_results_1710.json
5XPV-YCS1-DYNS-3001-00000-00,crime_query_results_1710.json
5YGB-6HM1-JC6P-C2H6-00000-00,crime_query_results_1710.json
5XNC-5391-DYNS-30F4-00000-00,crime_query_results_1710.json
5WP7-29T1-DYNS-3390-00000-00,crime_query_results_1710.json
5XMH-8B71-DYNS-33KG-00000-00,crime_query_results_1710.json
5SB7-J4B1-DYNS-32HW-00000-00,crime_query_results_999.json
5S66-3P81-JC6P-C4JX-00000-00,crime_query_results_999.json
5WT0-NRY1-DYNS-32DW-00000-00,crime_query_results_999.json
5S36-H2X1-JC6P-C3VX-00000-00,crime_query_results_999.json
5TWY-RDK1-JC6P-C3RR-00000-00,crime_query_results_1680.json
5T9Y-S151-JC6P-C2NW-00000-00,crime_query_results_1680.json
5X28-6DK1-JC6P-C1VJ-00000-00,crime_query_results_720.json
64VN-TPT1-DY8S-B0CW-00000-00,crime_query_results_720.json
5WV4-5DT1-DYNS-34MX-00000-00,crime_query_results_1100.json
5S7V-7661-JC6P-C15W-00000-00,crime_query_results_910.json
5XKC-SHG1-DYNS-34SC-00000-00,crime_query_results_910.json
5XJ5-KDT1-JC6P-C11X-00000-00,crime_query_results_910.json
5T6B-7XG1-JC6P-C4XT-00000-00,crime_query_results_910.json
5W37-1JN1-JC6P-C3YN-00000-00,crime_query_results_910.json
5VFH-KSJ1-DYNS-33D1-00000-00,crime_query_results_1330.json
5S1P-PVD1-JC6P-C4FW-00000-00,crime_query_results_1760.json
5W8X-KKS1-JC6P-C36B-00000-00,crime_query_results_1760.json
5WCH-WMW1-DYNS-33W2-00000-00,crime_query_results_1760.json
